id,seed,stimulus,P026,P088,P4026A,P022A,P067,P089,P097,P098,P106,P027,P060,P064,P301,UEQ_1,UEQ_2,UEQ_3,UEQ_4,UEQ_5,UEQ_6,UEQ_7,UEQ_8,SUS_1,SUS_2,SUS_3,SUS_4,SUS_5,SUS_6,SUS_7,SUS_8,SUS_9,SUS_10
917,892211894,JMP,6,7,6,7,7,6,7,6,7,7,7,7,6,7,6,6,7,6,6,7,6,5,1,5,2,4,1,4,1,4,4
949,617056828,JMP,3,4,4,6,5,4,7,5,6,5,5,6,6,4,2,5,3,4,6,3,5,4,3,2,3,3,3,1,3,2,4
954,1087705069,JMP,5,5,4,5,6,5,6,6,6,5,5,5,6,5,5,6,5,6,5,5,4,4,2,4,3,4,2,4,3,3,3
958,1763030848,JMP,4,7,5,4,4,5,5,7,7,7,6,4,7,7,6,5,6,3,3,3,4,5,1,5,1,4,2,3,3,5,3
961,1053269030,JMP,5,6,6,7,7,7,7,7,7,6,7,7,7,6,6,7,6,5,6,5,5,4,1,4,1,4,1,4,1,5,3
1004,382762375,JMP,7,6,6,6,6,7,5,6,6,7,6,6,6,7,6,7,6,5,5,4,6,4,1,4,5,4,1,3,1,4,4
1005,1090423504,JMP,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,1,4,2,4,2,4,2,4,2,4,2
1011,251594679,JMP,5,5,6,6,4,5,7,5,6,6,5,5,5,6,5,5,4,4,5,3,3,3,3,4,4,4,2,3,2,4,5
1021,1173204791,JMP,7,6,6,4,7,6,6,5,5,7,7,7,7,7,7,7,7,7,7,7,7,5,1,5,3,4,2,4,5,5,2
1033,931819519,JMP,6,6,6,6,6,6,6,6,6,6,6,6,6,7,4,7,5,7,7,7,7,4,2,4,4,4,2,4,2,4,3
1040,1463523051,JMP,5,6,5,4,5,4,7,5,NA,4,7,7,7,6,5,6,6,7,7,6,4,4,3,4,4,5,5,4,3,3,4
1078,1284712706,Excel,3,3,3,6,7,6,5,5,6,5,5,4,6,3,2,3,3,2,1,4,2,1,4,2,3,4,2,3,4,4,2
1079,1657385912,Excel,7,6,5,7,4,5,6,7,7,7,5,6,7,6,5,7,3,4,3,4,3,4,2,4,4,2,3,5,3,4,5
1081,1537520580,Excel,7,7,6,7,7,7,7,6,6,7,7,6,7,7,7,7,7,7,7,7,7,5,1,5,3,5,1,4,1,5,3
1084,799717003,Excel,6,6,6,6,6,7,7,7,6,7,7,6,7,7,7,6,6,5,5,4,3,4,2,4,1,3,2,3,1,3,2
1087,1688850455,Excel,5,6,4,6,NA,6,5,6,6,6,7,7,7,6,6,7,6,3,4,3,2,5,2,4,2,3,2,4,2,4,4
1090,1950584027,Excel,5,5,6,6,6,7,7,6,7,6,6,6,6,6,5,6,6,4,4,2,4,5,3,4,4,4,3,3,3,4,2
1091,2144449168,Excel,5,6,6,5,5,4,5,5,5,6,6,4,6,5,7,6,6,5,5,6,5,4,2,4,2,3,2,4,2,4,3
1092,2129304939,Excel,6,6,6,7,4,6,7,6,7,6,6,3,7,6,4,7,4,3,3,5,5,4,2,4,2,4,1,3,2,4,3
1094,388308666,Excel,7,7,6,7,6,7,7,6,7,7,6,7,7,6,7,7,7,5,6,6,7,5,1,4,1,5,2,4,3,5,3
1096,1388935098,Excel,5,5,5,6,6,7,7,6,6,6,6,6,6,6,5,6,4,5,6,6,4,4,3,4,3,4,2,4,4,4,4
1099,184906911,Excel,5,6,6,4,5,6,5,6,6,6,7,6,6,5,4,5,5,3,6,4,6,3,4,5,4,3,4,3,4,4,4
1103,718357415,Excel,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,2,5,2,4,1,4,2,3,2,4,4
1104,551554932,Excel,5,5,4,6,4,6,6,6,5,6,6,4,6,6,5,6,5,4,5,5,4,4,1,4,1,4,1,4,3,4,3
1105,1865131227,Excel,3,3,4,5,4,5,6,5,6,6,5,6,6,5,4,6,4,5,5,3,4,4,3,5,3,4,2,3,4,4,4
1107,1842593871,Excel,6,6,6,5,5,6,6,5,6,6,6,5,6,6,6,6,6,4,5,2,3,4,3,4,3,3,4,5,2,3,3
1109,1374822522,Excel,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3,7,7,7,7,7,6,5,2,4,1,4,1,3,1,5,3
1110,1117509554,Excel,7,6,7,5,5,6,6,7,7,7,6,6,7,6,5,7,4,5,5,4,6,5,1,4,1,5,2,4,1,4,2
1116,549706751,Excel,6,4,4,6,7,7,7,7,6,7,5,6,7,6,5,4,6,6,6,6,6,4,2,4,4,4,2,4,2,2,4
1117,259862117,Excel,6,7,6,6,5,6,7,6,7,7,6,6,7,7,7,7,6,6,6,4,4,5,1,4,1,4,1,4,3,4,2
1118,646517781,Excel,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,6,7,7,5,4,5,1,5,1,5,1,4,1,5,2
1119,14649853,Excel,5,5,6,6,4,6,6,6,6,6,5,5,6,6,6,6,6,4,5,6,5,4,1,4,2,4,1,4,1,3,2
1121,232187531,Excel,7,7,6,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,1,7,5,1,5,1,2,1,4,4,5,3
1122,709666755,Excel,5,6,7,7,6,7,7,7,7,7,6,6,7,7,5,7,6,6,6,3,4,5,2,4,1,5,1,4,2,4,4
1126,1614216812,Excel,3,4,3,5,5,6,6,6,6,7,6,5,7,5,3,7,5,5,6,6,5,4,3,4,2,4,1,2,3,4,4
1127,15308611,Excel,6,7,7,7,6,7,7,6,6,5,6,7,6,5,6,4,6,3,5,2,3,4,1,5,1,4,1,4,2,5,2
1128,580284189,Excel,7,7,7,7,7,7,7,5,7,7,7,3,7,7,7,7,7,7,7,5,2,5,2,1,1,3,1,5,1,5,1
1129,617695464,Excel,6,4,5,5,5,6,6,6,6,6,4,4,5,5,2,6,3,4,4,3,3,3,4,3,2,3,2,1,2,2,5
1130,1577465896,Excel,4,4,5,7,7,7,6,6,6,6,4,3,6,5,5,6,5,3,3,1,1,4,3,3,2,5,2,3,2,4,3
1132,868875017,Excel,7,6,6,6,5,7,6,6,7,7,5,6,6,5,3,6,6,3,5,4,2,4,2,3,1,4,2,3,1,4,5
1135,1470007809,Excel,5,3,5,6,4,5,6,6,6,6,6,6,6,4,5,6,5,5,6,5,5,4,3,3,3,3,2,3,2,4,4
